TYPE,TYPE_VERSION,YEAR,QUARTER,URL,MD5SUM
aers,a,2004,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084927.zip,de2a7799059dffb12b08afdcb864c1a2
aers,a,2004,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084924.zip,131b2a39efa40e6b5fff37c796271152
aers,a,2004,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084922.zip,fd0c6fbfe169cb458bd745d48b006f58
aers,a,2004,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084920.zip,a0266999138c4986f206d4e377588525
aers,a,2005,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084918.zip,8928bac0e7a8e0761d4dffb305f41022
aers,a,2005,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084916.zip,539b47c0193cd9874adee897c3a6fceb
aers,b,2005,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084277.zip,7ebb6a5cb22afddf6f9a79563c2ce5be
aers,b,2005,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084259.zip,8f43984f0c7d0aac2bcc76626d8c5461
aers,b,2006,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084242.zip,c5de6f958e5ba390d31d7655e980509c
aers,b,2006,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084217.zip,0ba7df1690892a6009a51d0ca3f66bf9
aers,b,2006,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084206.zip,ff44e7845a86c508165a76724d8d9180
aers,b,2006,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084161.zip,82bbde4c1a6516bbb3e9240a19daa99f
aers,b,2007,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm084042.zip,21e5c63523fff1ff2c9fd9c2655bcb87
aers,b,2007,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm083983.zip,dd32d844269997e24bf07b797af1f36b
aers,b,2007,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm083816.zip,f35939e2591bedf23cd574126a2eaeb8
aers,b,2007,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm085809.zip,c85caa321568010e9948db441fabc4ca
aers,b,2008,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm085793.zip,fef5fff36ebf849a1dab446888f84af5
aers,b,2008,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm085785.zip,70ecc59f1d9900b2da163d982e6e5477
aers,b,2008,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm085780.zip,3b71684a4e05ff143dda8cc5c19f9645
aers,b,2008,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM150381.zip,2075fd9983af9ddae25ee86d352293f3
aers,b,2009,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM173888.zip,14181f3f3aaa0a8e6600d12a80e52235
aers,b,2009,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM186488.zip,38ccdd203ce3fd060f467cf93daf73e6
aers,b,2009,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM197917.zip,e38fbaa3ad50da378d6c71578f7dbea6
aers,b,2009,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM213485.zip,8dd27d50017833cd1d0d38e067d66b63
aers,b,2010,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM220802.zip,2d60b393ab62410f61817fea100adf65
aers,b,2010,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM232595.zip,42cf690794b3997b2addb4ad26d49d4d
aers,b,2010,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM244691.zip,daed1289ba15ee582d5984bc29b3bc30
aers,b,2010,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM251745.zip,7007c8128e5668e23303b76e58f17836
aers,b,2011,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM270803.zip,4c6f7000e71b355f397c044b1257e4bc
aers,b,2011,2,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM278762.zip,cb30253d5e6d7049177874bb8505da5c
aers,b,2011,3,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM287845.zip,7ee21b6068a3d841b4777121dff8fea0
aers,b,2011,4,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM300452.zip,73b981763922d75de8e4a19fef9814f6
aers,b,2012,1,https://web.archive.org/web/20151230235839/http://www.fda.gov:80/downloads/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/UCM307572.zip,48cd04950961485781fddb518f9bb00e
